name,ip_address,category,status,location,brand
Library   - Hadapan Bilik Jurnal,10.63.8.54,cctv,unknown,,
Library   - Bilik jurnal,10.63.8.55,cctv,unknown,,
Library   - Bilik Auditorium,10.63.8.56,cctv,unknown,,
Library   - Hadapan Pintu Keluar Lift Bomba,10.63.8.57,cctv,unknown,,
Library   - Bilik Seminar 2,10.63.8.58,cctv,unknown,,
Library   - Ruang Bacaan 8 Aras 4,10.63.8.59,cctv,unknown,,
Library   - Ruang Koleksi Kreatif,10.63.8.60,cctv,unknown,,
Library   - Ruang Bacaan 10 Aras 4,10.63.8.61,cctv,unknown,,
Library   - Ruang Bacaan 11  Aras 4,10.63.8.62,cctv,unknown,,
Library   - Ruang Bacaan 12  Aras 4,10.63.8.63,cctv,unknown,,
Library   - Ruang Bacaan 13  Aras 4,10.63.8.64,cctv,unknown,,
Library   - Ruang Terbuka - Dekat Seminar 1,10.63.8.65,cctv,unknown,,
Library   - Ruang Kubikal,10.63.8.66,cctv,unknown,,
Library - Lift Eksekutif Kanan Aras 4,10.63.8.67,cctv,unknown,,
Library - Lift Eksekutif Kiri Aras 4,10.63.8.68,cctv,unknown,,
Library   - Ruang Bacaan 3 Aras 4,10.63.8.69,cctv,unknown,,
Library   - Ruang Bacaan 4  Aras 4,10.63.8.70,cctv,unknown,,
Library   - Ruang Bacaan 5  Aras 4,10.63.8.71,cctv,unknown,,
Library   - Ruang Bacaan 6  Aras 4,10.63.8.72,cctv,unknown,,
Library   - Ruang Bacaan 7 Aras 4,10.63.8.73,cctv,unknown,,
Library - Canselori Laluan Bilik Mesyuarat VIP,10.63.8.74,cctv,unknown,,
Library - Canselori Bilik VIP,10.63.8.76,cctv,unknown,,
Library - Laluan Bilik Jemaah Aras 5,10.63.8.78,cctv,unknown,,
Library - Lobi Canselori - Hadapan Lift Eksekutif,10.63.8.79,cctv,unknown,,
Bilik Mesyuarat VIP,10.63.8.80,cctv,unknown,,
Library   - Bilik Jamuan,10.63.8.81,cctv,unknown,,
Library   - Keluar Tangga,10.63.8.82,cctv,unknown,,
Library - Canselori Laluan Lift Bomba,10.63.8.83,cctv,unknown,,
Makmal Komputer alkhawarizmi,10.63.8.84,cctv,unknown,,
Pintu Masuk Pos 4,10.63.8.86,cctv,unknown,,
Pintu Keluar Pos 4,10.63.8.87,cctv,unknown,,
